topic,pval_lag0_train,corr_lag0_train,pval_lag1_train,corr_lag1_train
topic_0,0.0,-0.0711,0.0,-0.0228
topic_1,0.0,0.0166,0.0,0.0177
topic_2,0.0,0.0735,0.0,0.0302
topic_3,0.0,0.033,0.0,0.0187
topic_4,0.0,0.0639,0.0,0.0182
topic_5,0.0,0.0698,0.0001,0.0058
topic_6,0.0,-0.0876,0.0,-0.0163
topic_7,0.0,-0.0317,1.0,-0.0011
topic_8,0.0,0.0579,0.0,0.0294
topic_9,0.0,0.0606,0.0,0.0273
topic_10,1.0,0.0026,0.0,0.0081
topic_11,0.0,0.2917,0.0,0.0543
topic_12,0.0,-0.0735,0.0269,-0.0043
topic_13,1.0,-0.0005,0.0,0.0096
topic_14,1.0,-0.0025,0.0,0.0159
topic_15,0.0,0.0294,0.0,0.0358
topic_16,0.0,0.0507,0.0,0.0191
topic_17,0.0,0.1198,0.0,0.0312
topic_18,0.0,0.0136,0.0,0.0147
topic_19,0.0,0.0294,0.0,0.0358
topic_20,0.0,-0.0789,0.0,0.0444
topic_21,0.0,-0.0322,0.0,-0.0062
topic_22,0.0,0.0236,0.0,0.0134
topic_23,0.0,0.0296,0.0,0.0142
topic_24,0.0,0.046,0.0,0.04
topic_25,0.0,0.0074,0.0,0.0139
topic_26,0.0,0.1957,0.0,0.0383
topic_27,0.0,0.0725,0.0,0.0365
topic_28,0.0,0.0295,0.0,0.0358
topic_29,0.0,0.1908,0.0,0.0532
topic_30,0.0,0.0294,0.0,0.0146
topic_31,0.0,0.2537,0.0,0.0513
topic_32,0.0,0.0098,0.0,0.0159
topic_33,0.0,0.0233,0.0,0.0347
topic_34,0.0,-0.0262,0.0,-0.0108
topic_35,0.0,-0.0728,0.0,-0.0314
topic_36,0.0,0.0229,0.0,0.0174
topic_37,0.0,0.0294,0.0,0.0358
topic_38,0.0,-0.0181,0.0,-0.0072
topic_39,0.0,0.008,0.0,0.0122
topic_40,0.0,0.0218,0.0,0.0144
topic_41,0.0,-0.0803,0.0,0.0069
topic_42,0.0,0.0277,0.0,0.0346
topic_43,0.0015,-0.0052,1.0,0.0013
topic_44,0.0,-0.0308,0.0,-0.0091
topic_45,0.0,0.1139,0.0,0.0299
topic_46,0.0,0.0292,0.0,0.0358
topic_47,0.0,0.0411,0.0,0.0321
topic_48,0.0,0.0758,0.0,0.032
topic_49,1.0,0.001,0.0,0.0135
